,Ticker,MarketCap,AvgVol,Turnover
406,0438.HK,312.3M,771564,923527.390145
407,0439.HK,1.247B,8572640,1059481.57559
408,0440.HK,13.886B,526268,17135169.2207
409,0444.HK,973.1M,478133,569155.429306
410,0445.HK,942.2M,3295450,1393757.42236
411,0449.HK,1.468B,9365630,2911733.9562
412,0450.HK,1.026B,241355,388838.375131
413,0451.HK,6.919B,324086,12788977.2951
414,0455.HK,663.8M,259015,773282.979288
415,0456.HK,1.298B,968332,865909.54599
416,0458.HK,826.5M,3301,31374.3232292
417,0459.HK,602.8M,12773000,590915.710129
418,0460.HK,49.229B,31411500,265647554.614
420,0464.HK,184.4M,2168420,302295.882344
421,0465.HK,332.8M,47313,48739.3722222
422,0467.HK,15.011B,1021730,1837877.81333
423,0468.HK,7.045B,2786100,13700729.453
424,0469.HK,283.1M,516836,275388.34125
425,0471.HK,171.3M,34170600,4319941.51709
426,0472.HK,717.7M,208552,174263.144574
427,0474.HK,556.1M,1885790,287154.93401
428,0475.HK,534.3M,109761,540638.600104
429,0476.HK,2.652B,27324800,12764753.5492
430,0477.HK,939.6M,1374820,1048439.26155
431,0479.HK,283.7M,27486600,2760730.05885
432,0480.HK,4.361B,604532,1515417.43472
433,0482.HK,328.6M,50331,53880.237031
434,0483.HK,945.3M,321323,1118743.50455
435,0485.HK,426.8M,2749870,775558.627434
436,0486.HK,54.847B,2016650,6110570.23094
437,0487.HK,1.478B,7311450,10986216.1172
438,0488.HK,3.752B,8948300,2531938.05907
439,0489.HK,40.270B,13454700,147925076.62
440,0491.HK,340.6M,2816700,75729.2884764
441,0493.HK,21.368B,67633400,122289333.454
442,0494.HK,94.301B,14568400,215156246.832
443,0495.HK,294.8M,43657,215981.127778
444,0496.HK,1.906B,326957,362525.05151
445,0497.HK,2.734B,11092500,2692777.93859
446,0498.HK,736.9M,3617210,824997.482969
447,0499.HK,663.7M,191393,130120.395396
448,0500.HK,754.1M,3090650,4336268.39939
449,0503.HK,1.552B,919731,2214000.23708
450,0505.HK,399.0M,473518,219106.355
451,0506.HK,7.776B,2071430,12708562.1595
452,0508.HK,1.719B,4308660,1116860.69252
453,0509.HK,2.726B,7156680,4411001.79473
454,0510.HK,527.4M,19606500,974428.626962
455,0511.HK,22.075B,492564,24040059.6607
456,0512.HK,2.923B,2052590,2265173.235
457,0513.HK,664.4M,2520630,195194.650712
458,0515.HK,305.0M,2440330,1221440.10503
459,0516.HK,408.0M,0,0
460,0517.HK,4.784B,493050,2426905.51726
461,0518.HK,413.6M,370780,234121.049293
462,0519.HK,417.6M,8527200,1971018.80844
463,0521.HK,935.1M,12420800,3493197.30859
464,0522.HK,34.386B,857251,55536104.8001
465,0525.HK,4.078B,4319370,17083910.2953
466,0526.HK,1.880B,7057420,1263978.23174
467,0527.HK,1.603B,2534980,10000288.4171
468,0528.HK,815.3M,338806,1197273.36017
469,0529.HK,861.5M,16848,37220.1225
470,0530.HK,22.196B,2794840,8839922.52693
471,0531.HK,2.892B,1112270,2241439.78726
472,0532.HK,481.0M,316256,141085.456776
473,0533.HK,3.074B,319616,923791.016443
474,0535.HK,4.001B,12068600,10216567.3098
475,0536.HK,1.513B,3461980,6940714.19125
476,0538.HK,6.404B,1548810,15101920.3177
477,0539.HK,1.819B,218856,1245287.80979
478,0540.HK,231.0M,108060,110544.346688
479,0542.HK,253.1M,965454,179327.16408
480,0543.HK,4.755B,1198650,7714159.26684
481,0544.HK,231.0M,846358,325889.536944
482,0546.HK,5.909B,2012230,9987029.95851
483,0547.HK,894.8M,2131130,241267.622527
484,0548.HK,2.999B,2147350,8380076.92884
485,0549.HK,100.1M,133164,57967.7161458
486,0550.HK,374.1M,422910,498144.947656
487,0551.HK,41.967B,2015170,43245380.6048
488,0552.HK,8.871B,9254800,42300190.8955
489,0553.HK,1.093B,995940,5015174.65264
490,0554.HK,716.7M,590239,211308.977604
491,0555.HK,8.174B,85160096,86741702.5589
492,0556.HK,1.376B,903373,1677179.4391
493,0557.HK,531.0M,475910,1135293.00339
494,0558.HK,849.0M,190298,459078.79699
495,0559.HK,862.6M,3320170,897683.247135
496,0560.HK,1.611B,1823400,7284085.28182
497,0563.HK,7.218B,3623570,10490562.1397
499,0565.HK,359.1M,329925,624666.831649
500,0566.HK,33.990B,84470400,153701418.429
501,0567.HK,254.4M,1335040,217506.951667
502,0568.HK,954.9M,4576680,6376744.11969
503,0569.HK,1.447B,1207970,3337418.74306
504,0570.HK,8.742B,3210860,17063291.0608
505,0572.HK,187.2M,13694600,2658763.83398
506,0573.HK,4.497B,100748,745606.815172
507,0575.HK,306.8M,2217490,446902.887708
508,0576.HK,11.329B,2977850,23052476.8906
509,0577.HK,2.678B,650467,7999646.95333
510,0578.HK,178.2M,397734,138529.291059
511,0579.HK,6.897B,11072700,50639808.8221
512,0580.HK,695.1M,2190600,3352908.85356
513,0581.HK,3.400B,27332,39440.2914063
514,0582.HK,9.098B,46757800,31561046.7051
516,0585.HK,1.545B,65739000,4256350.65625
517,0587.HK,6.330B,6794050,19474240.4301
518,0588.HK,1.343B,1548290,1917000.85108
519,0589.HK,1.922B,857926,3401734.28557
520,0590.HK,13.606B,2090260,52286250.3778
522,0592.HK,1.155B,1194950,1075637.45363
523,0593.HK,914.3M,912019,2936629.36438
524,0595.HK,490.6M,5226550,18339867.0341
525,0596.HK,1.524B,4327970,3406767.95521
527,0598.HK,8.792B,14236800,41744088.148
528,0599.HK,186.0M,73743,39120.4064063
529,0600.HK,478.2M,371638,217269.49777
530,0601.HK,271.9M,760901,1039068.07066
531,0602.HK,363.3M,225918,114693.221535
532,0603.HK,7.655B,7862240,23242586.9472
533,0604.HK,13.130B,6158620,21062936.8549
534,0605.HK,2.297B,12232800,5430451.17891
535,0606.HK,15.173B,7602380,22721367.6906
536,0607.HK,1.006B,12552600,10875891.8529
537,0608.HK,899.9M,24125,55221.7145022
538,0609.HK,1.330B,357015,837687.13
539,0610.HK,1.649B,58539,123211.728173
