,Ticker,MarketCap,AvgVol,Turnover
670,HILS.L,394.4M,73499,31688851.706
673,HLCL.L,406.9M,65957,39804119.3927
674,HLMA.L,2.205B,365678,253214906.424
678,HNT.L,170.3M,63294,9343900.27331
679,HOC.L,595.3M,180052,95310083.7158
680,HOIL.L,887.4M,1285651,220416415.68
681,HOME.L,1.382B,1799165,357297197.619
682,HON.L,72.830B,312,2549173.73296
686,HRG.L,233.1M,64870,21520528.6736
687,HRN.L,29.1M,5488,1845059.15814
689,HSBA.L,114.8B,19381644,15155625908.5
690,HSD.L,130.9M,15888,12099066.2765
693,HSV.L,1.017B,198344,74582474.2823
694,HSX.L,2.133B,210379,187905535.477
695,HTG.L,1.240B,164863,178643667.844
697,HTY.L,642.4M,171184,87443600.1928
702,HVN.L,78.8M,8583,8220053.04797
703,HVT.L,15.7M,336,48274.0585774
705,HWC.L,1.2M,3149,49634.155748
707,HYC.L,180.2M,25039,20885798.6996
710,HYNS.L,29.2M,941,815622.730694
714,IAG.L,7.601B,6618897,2895421206.15
715,IAP.L,2.407B,1114906,476837295.565
717,IBM.L,199.0B,354,18975540.1457
719,ICP.L,1.510B,685555,420475.904413
724,IFL.L,43.3M,544332,10919963.1625
726,IFP.L,132.4M,1651,809605.045023
729,IGG.L,2.088B,545519,386322967.444
732,IHG.L,6.186B,868065,1547878422.8
734,III.L,3.779B,2364636,-
736,IKK.L,28.2M,3205,24322.1976156
739,IMG.L,597.5M,696839,307814346.246
740,IMI.L,4.017B,490108,825236.667646
743,IMT.L,25.179B,1457580,4331813850.43
748,INCH.L,2.892B,495249,403753428.886
751,INF.L,2.891B,7704710,488367667.14
754,INM.L,218.4M,101079,2506781.88493
759,INV.L,19.3M,289,16522.9137239
760,INVP.L,4.570B,1045015,841270006.601
767,IPF.L,1.447B,236960,300351479.151
768,IPO.L,750.5M,160046,55651249.8242
773,IRF.L,1.4M,88692,32576.5630757
776,IRV.L,757.2M,138182,118792100.346
777,ISAT.L,3.386B,590298,516359738.176
782,ITE.L,542.7M,328814,176902340.496
785,ITRK.L,4.377B,329882,1124307652.6
786,ITV.L,7.058B,10211734,1976633962.35
790,JDG.L,123.1M,4985,12086876.1401
792,JDW.L,925.0M,51852,65773625.1666
793,JEL.L,100.5M,1000,-
796,JKX.L,97.9M,29627,7567415.15384
800,JLT.L,2.185B,49251,73361751.4308
801,JMAT.L,6.187B,320473,1139123821.57
803,JPM.L,207.4B,607,7151064.36518
