Ticker,MarketCap,AvgVol,Close,Turnover
BIDU,64.685B,4036130,158.981125541,641668490.229796
BIIB,74.414B,1456440,278.075887446,405000845.511852
BIOC,29.0M,27669,6.5419387755,181008.903979586
BIOD,45.4M,174597,2.9474025974,514607.651298248
BIOF,35.9M,1032170,3.8164806867,3939256.87039114
BIOL,73.7M,228205,2.2390909091,510971.740908884
BIOS,560.7M,1354570,8.4604761905,11460307.2333385
BIRT,213.2M,562936,6.5916017316,3710649.91237998
BJRI,999.8M,373900,30.5208658009,11411751.7229565
BKCC,666.7M,733739,9.3863090129,6887100.98880156
BKEP,208.8M,23422,8.8125321888,206407.12892701
BKEPP,225.8M,8564,9.4483549784,80915.7120345894
BKMU,275.6M,105884,6.4009090909,677753.858181915
BKOR,13.3M,2598,6.0394142259,15690.3981589921
BKSC,67.0M,2623,14.9321030043,39166.9061802789
BKYF,266.6M,16209,32.6930735931,529922.029870558
BLDP,529.4M,5256160,2.5667811159,13491412.2300438
BLDR,699.4M,431044,7.2104329004,3108013.83913295
BLIN,19.9M,127338,1.0487445887,133545.038440974
BLKB,1.591B,197477,35.0775536481,6927010.06176584
BLMN,2.832B,1065480,23.3635930736,24893441.1480593
BLMT,142.8M,8916,15.6241558442,139304.973506887
BLRX,70.3M,111028,2.418961039,268572.406233651
BMRC,262.8M,14517,43.3603004292,629461.481330696
BMRN,9.027B,1589130,67.4848927039,107242267.542549
BMTC,402.9M,34488,28.0224675325,966438.86026086
BNCL,1.005B,98898,11.3441991342,1121918.60597411
BNCN,487.5M,46172,15.53472103,717269.13939716
BNSO,10.4M,4434,1.6131168831,7152.5602597541
BOBE,1.256B,435367,50.9075324675,22163459.6877781
BOCH,84.6M,17448,5.9535497836,103877.53662338
BODY,15.1M,856575,3.7035497836,3172368.15584434
BOFI,1.049B,261792,75.75004329,19830755.3329757
BOKF,4.477B,101898,64.8211255411,6605143.05038701
BOLT,146.1M,39102,18.9831601732,742279.529092466
BONA,367.5M,136417,5.8738528139,801293.379306976
BONT,209.9M,343931,12.318961039,4236872.58910431
BOOM,308.5M,53047,21.3351515152,1131765.78242681
BOSC,5.0M,21264,5.1360606061,109213.19272726
BOTA,104.6M,166556,4.4167532468,735636.753765693
BOTJ,29.8M,1673,8.7645454546,14663.0845454621
BPFH,1.055B,474581,12.0779220779,5731952.33765186
BPHX,46.9M,2242,4.3462337662,9744.2561038877
BPOP,3.426B,654766,29.1842424242,19108849.6751237
BRCD,3.970B,6663520,8.7474025974,58288492.1558269
BRCM,21.592B,8379970,29.2676824034,245262300.51002
BREW,207.3M,80483,14.0496103896,1130754.79298618
BRID,71.2M,1059,9.5490909091,10112.4872727263
BRKL,650.5M,255720,9.2221030043,2358276.18025704
BRKR,4.042B,771870,20.7682251082,16030369.9142663
BRKS,622.4M,384617,9.9954506438,3844420.24025873
BRLI,807.1M,299823,28.1511255411,8440354.91310923
BSDM,33.6M,82275,1.2940692641,106469.548701359
BSET,130.2M,41383,14.5851515152,603577.325153522
BSFT,705.5M,415491,28.6534632035,11905256.0798854
BSPM,20.3M,115497,1.5976623377,184525.207012717
BSQR,37.3M,11359,3.1791774892,36112.2770995956
BSRR,223.4M,29002,16.1654112554,468829.257229111
BSTC,172.4M,31161,22.3749350649,697225.351557349
BTUI,30.2M,7620,3.0266233766,23062.8701298444
BUR,120.5M,8709,3.1625108225,27542.3067532396
BUSE,495.8M,152966,5.5187012987,844173.662856944
BV,608.1M,562411,8.2645887446,4648095.62043361
BVA,11.7M,2111,4.2725541126,9019.3617315931
BVSN,47.3M,22750,10.4363636364,237427.2727281
BWEN,129.8M,232075,8.9506926407,2077231.99458813
BWINA,359.4M,2703,24.1814718615,65362.5184416345
BWINB,389.6M,19433,25.7134199134,499688.889177102
BWLD,3.077B,462147,134.712510823,62256982.739317
BYFC,30.4M,5047,1.1463948498,5785.8548068901
C,143.6B,21083200,49.5836363636,1045381722.18105
CA,12.686B,2810970,31.1211688312,87480671.9494383
CAAS,245.4M,124395,7.8174025974,972445.796103573
CAC,284.9M,17228,39.1712121212,674841.642424034
CACB,242.0M,129930,5.2536363636,682604.972727745
CACC,2.897B,33005,126.136580087,4163137.82577144
CACG,35.6M,18023,9.8657575758,177810.548787922
CACH,32.5M,278339,4.4316883117,1233511.69298748
CADC,5.5M,2005,4.7620779221,9547.9662337704
CAKE,2.268B,673294,45.8194372294,30849952.1699316
CALD,518.4M,500245,10.8359307359,5420620.1709803
CALI,8.1M,26700,3.0126609442,80438.047210407
CALL,274.4M,660675,15.1566233766,10013602.1493352
CALM,1.744B,125162,55.6501731602,6965286.97307695
CAMP,737.4M,993217,23.2988311688,23140795.196982
CAMT,98.4M,154648,3.1116017316,481202.984588477
CAR,6.152B,1702070,40.6248484848,69146335.8605235
CARB,296.0M,122531,12.0042424242,1470891.82847965
CART,23.0M,5752,3.7386580087,21504.7608658123
CARV,37.9M,280,9.3414285714,2615.6000000004
CASH,246.0M,20412,38.5031601732,785926.505455358
CASM,37.5M,19123,1.826969697,34937.1415151573
CASS,582.2M,29423,55.4142424242,1630453.25484724
CASY,2.674B,195156,69.7756277056,13617132.4005141
CATM,1.499B,552647,37.7237662338,20847926.2378109
CATY,2.009B,379159,24.6335497835,9340032.10236208
CAVM,2.528B,901223,40.3084120172,36326868.003377
CBAK,29.7M,133058,2.3074025974,307018.374804849
CBAN,51.1M,3819,6.2507792208,23871.7258441588
CBEY,307.9M,645828,7.3766233766,4764029.92207574
CBF,1.202B,123127,22.8073593074,2808201.72944224
CBIN,90.0M,2923,21.1072294372,61696.4316449356
CBLI,25.7M,294067,1.0790476191,317312.296191176
CBMX,24.7M,191734,2.7424242424,525815.969696156
CBNJ,117.7M,12778,10.0525541126,128451.536450803
CBNK,84.9M,2950,17.4600865801,51507.255411295
CBOE,4.187B,714986,50.7225974026,36265947.0264954
CBPO,941.8M,34852,32.0726609442,1117796.37922726
CBRL,2.377B,184086,102.122188841,18799265.2549843
CBRX,71.8M,24684,6.6605194805,164408.262857156
CBSH,4.343B,376031,44.7071861472,16811287.9141178
CBST,5.273B,796958,67.8355844156,54062111.6846877
CCBG,239.6M,24139,12.6884848485,306287.335757941
CCCL,27.6M,30580,2.2907359307,70050.7047620292
