,Ticker,MarketCap,AvgVol,Turnover
845,RS1.SI,55.0M,0,143.414856182
847,S05.SI,875.1M,79612,63592.0979322
848,S07.SI,37.903B,2909,36944.1729167
849,S08.SI,3.335B,7688690,5211294.37865
850,S10.SI,1.584B,2080940,5984659.62845
851,S13.SI,34.7M,7104,993.757338889
852,S19.SI,106.8M,61433,15467.5076187
853,S20.SI,1.196B,53672,150329.280382
854,S21.SI,3.133B,3121740,2488413.55694
855,S23.SI,119.8M,6985,6251.47087688
856,S24.SI,1.354B,12306900,1543862.9712
858,S29.SI,91.9M,45537,17408.1747904
860,S30.SI,3.848B,288104,1233414.63281
861,S35.SI,212.8M,30045,26041.3157487
863,S3N.SI,364.6M,6837330,-
864,S41.SI,1.209B,49776,132771.860069
865,S44.SI,149.7M,18836,19745.278125
867,S46.SI,102.6M,37806,9629.72400613
869,S48.SI,244.1M,0,167524.540799
870,S49.SI,178.5M,70582,22628.9674765
871,S51.SI,8.503B,2157700,10753417.9875
872,S53.SI,2.358B,4722370,2725855.74766
873,S56.SI,75.3M,51075,6410.00964171
874,S58.SI,3.502B,990358,4259902.28818
875,S59.SI,5.678B,326761,1423947.20218
876,S61.SI,524.7M,89366,48393.9137153
877,S63.SI,11.965B,2202090,8516096.1375
878,S68.SI,7.404B,1227210,9860236.22355
879,S69.SI,121.8M,534970,95272.2763038
880,S71.SI,17.8M,10672,1809.26875
881,S73.SI,25.1M,750239,32639.5931544
882,S85.SI,591.5M,128716,68877.58125
883,S91.SI,8.325B,515,203.709668948
884,T03.SI,574.2M,781896,945622.660069
885,T04.SI,73.3M,911537,57143
886,T06.SI,164.9M,488821,196769.044792
887,T08.SI,47.1M,16015,3202.44486149
888,T09.SI,133.9M,3940120,373372.708459
889,T12.SI,51.1M,49910,10294.8256745
890,T13.SI,558.1M,10443300,3931390.3824
891,T14.SI,787.4M,524672,312383.302257
892,T15.SI,6.684B,121636,370824.125
893,T16.SI,62.4M,104642,8219.70971574
894,T18.SI,551.2M,11530,2214.55034722
895,T19.SI,21.0M,424328,46628.9423611
896,T20.SI,3.1M,2711900,23296.975
897,T24.SI,404.6M,1370720,258390.280298
899,T28.SI,2.6M,16958500,71532.8140625
900,T35.SI,160.7M,4783550,478841.050946
901,T39.SI,6.804B,2283120,10739231.1598
902,T41.SI,118.1M,54209,9392.975
903,T42.SI,53.2M,9209,6624.59513438
904,T43.SI,79.1M,2746,8198.14913655
905,T55.SI,309.3M,153851,114095.168816
907,T77.SI,38.3M,21433,4134.41041667
909,U01.SI,82.6M,491209,39364.6125
910,U04.SI,1.438B,1170730,1795805.13542
912,U06.SI,4.594B,84791,251816.92464
914,U09.SI,230.1M,1181940,974603.315714
915,U10.SI,1.178B,95746,171817.198395
916,U11.SI,35.647B,2277980,42220664.1557
917,U13.SI,281.3M,3149,12033.1929547
918,U14.SI,5.065B,754687,5838727.59939
919,U18.SI,11.8M,38030,2378.54166667
920,U19.SI,846.6M,3074240,2738144.02851
921,U77.SI,898.8M,682955,726008.506741
922,U96.SI,9.613B,1762270,9777767.67674
923,V01.SI,552.9M,6925,64998.1826389
924,V03.SI,2.118B,527552,2817819.88946
925,V69.SI,52.0M,102478,8220.81489644
927,W05.SI,1.548B,628493,1143304.42382
928,W12.SI,60.8M,115194,9048.36145833
929,X04.SI,5.334B,97667,109460.331577
931,X27.SI,21.4M,35612,1983.91111111
932,X64.SI,13.3M,51627,4144.86649306
933,Y02.SI,304.1M,2018030,1097185.19444
